Rank,Country,GDP_2026_Trillion_USD,Key_Policies,International_Stance,Major_Agreements_Signed,Recent_Official_Statements_Notes
1,United States,32.38,"Free market capitalism, tech innovation, energy dominance, military strength","Western alliances leader, Indo-Pacific strategy, selective multilateralism","NATO, USMCA, AUKUS, QUAD, Paris Agreement (rejoined)","Support Ukraine, strategic rivalry with China, America First elements"
2,China,20.85,"State capitalism, BRI, technological self-reliance, common prosperity","Multipolar world advocate, non-interference, Global South leadership","RCEP, SCO, BRICS+, numerous BRI agreements, Paris Agreement","Community of Shared Future, oppose hegemony, Taiwan reunification priority"
3,Germany,5.45,"Social market economy, Energiewende green transition, export-led growth","Strong EU integration, transatlantic relations, rules-based order","EU single market, NATO, Paris Agreement, many FTAs","EU unity, Ukraine support, climate neutrality 2045"
4,Japan,4.38,"Innovation-driven, export-oriented, Abenomics legacy reforms","US alliance cornerstone, Free and Open Indo-Pacific","CPTPP, US-Japan Security Treaty, Quad, Paris Agreement","FOIP strategy, defense spending increase to 2% GDP"
5,United Kingdom,4.26,"Global Britain post-Brexit, financial hub, net zero","Atlanticist, NATO core, Commonwealth ties","AUKUS, CPTPP, NATO, Paris Agreement","Global security contributor, strong Ukraine support"
6,India,4.15,"Atmanirbhar self-reliance, infrastructure, digital economy","Strategic autonomy, multi-alignment, Global South voice","Quad, BRICS, I2U2, Paris Agreement, many bilateral FTAs","Vishwa Bandhu, climate justice, neighborhood first"
7,France,3.60,"Etat strong state intervention, nuclear power, cultural influence","EU leader with strategic autonomy, Africa/Indo-Pacific focus","EU, NATO, Paris Agreement, defense pacts","Strategic autonomy, multilateral reform"
8,Italy,2.74,"EU integration, manufacturing/tourism, fiscal discipline","Mediterranean focus, EU/NATO core","EU, NATO, Paris Agreement","Migration control, EU solidarity"
9,Russia,2.66,"Resource extraction, military-industrial complex","Eurasian integration, anti-Western multipolarity","CSTO, SCO, BRICS, EAEU, Paris Agreement","Special Military Operation goals in Ukraine, oppose NATO"
10,Brazil,2.64,"Agro-commodities, environmental policy, industrial base","BRICS/G20 leader, Amazon focus, multilateralism","Mercosur, BRICS, Paris Agreement","Sustainable development, climate leadership"
11,Canada,2.51,"Resources, progressive social policies, multiculturalism","Close US ties, NATO/G7, Arctic focus","USMCA, NATO, Paris Agreement, CPTPP","Rules-based order, climate action"
12,Australia,2.12,"Mining/resources, innovation","US alliance, Quad, Indo-Pacific","AUKUS, Quad, CPTPP, Paris Agreement","Counter coercion, defense buildup"
13,Mexico,1.85,"Nearshoring manufacturing, energy","USMCA priority, Latin America ties","USMCA, CPTPP, Paris Agreement","Sovereignty, migration management"
14,South Korea,1.80,"Tech/chaebol driven, export powerhouse","US alliance, regional stability","US-ROK treaty, CPTPP/IPEF, Paris Agreement","North Korea denuclearization, supply chain security"
15,Spain,1.65,"Tourism/services, renewables, EU","EU integration, Latin America","EU, NATO, Paris Agreement","Green recovery, cohesion"
16,Indonesia,1.45,"Nickel/resources, infrastructure, moderate Islam","ASEAN centrality, non-aligned","ASEAN, RCEP, Paris Agreement","Just energy transition, strategic autonomy"
17,Turkey,1.35,"Regional power, manufacturing/energy hub","Multi-vector, NATO + Eurasian","NATO, SCO observer, Paris Agreement","Balanced foreign policy, refugee role"
18,Netherlands,1.15,"Trade/logistics hub, agriculture/tech","EU/NATO, free trade advocate","EU, NATO, Paris Agreement","Open economy, rule of law"
19,Saudi Arabia,1.10,"Vision 2030 diversification, OPEC leader","Gulf security, pragmatic balancing","GCC, OPEC+, Abraham Accords related, Paris","Regional stability, economic diversification"
20,Switzerland,1.05,"Banking/neutrality, innovation/pharma","Permanent neutrality, humanitarian","Bilateral FTAs, Paris Agreement","Mediation, neutrality policy"
21,Poland,0.95,"EU funds, military modernization, energy","Strong anti-Russia NATO stance","EU, NATO, Paris Agreement","Ukraine frontline support, energy independence"
22,Argentina,0.85,"Agro-export, economic stabilization","Mercosur, BRICS interest","Mercosur, Paris Agreement","Reforms, sovereignty"
23,Sweden,0.75,"Welfare/tech/green, defense industry","NATO member, EU","EU, NATO, Paris Agreement","Feminist foreign policy legacy"
24,Belgium,0.70,"EU HQ, services/trade","EU core, multilateral","EU, NATO, Paris Agreement","EU leadership"
25,Thailand,0.68,"Tourism/manufacturing, monarchy","ASEAN, balancing powers","ASEAN, RCEP, Paris Agreement","Economic recovery, stability"
26,Iran,0.65,"Resistance economy, oil, sanctions","Anti-US axis, regional","BRICS, SCO, Paris Agreement","Oppose sanctions, axis of resistance"
27,Austria,0.62,"Services, neutrality","EU, neutral","EU, Paris Agreement","Neutrality maintained"
28,United Arab Emirates,0.60,"Diversification, tolerance","Pragmatic connector, Abraham Accords","Abraham Accords, BRICS, Paris Agreement","Vision, economic hub"
29,Norway,0.58,"Sovereign wealth fund, green transition","NATO, high aid","NATO, Paris Agreement","Climate leader, peace role"
30,Israel,0.55,"Tech/startup nation, defense","US ally, normalization","Abraham Accords, defense pacts","Security priorities"
31,Philippines,0.52,"Services, alliances","US ally, SCS defense","US MDT, ASEAN, Paris Agreement","West Philippine Sea"
32,Bangladesh,0.48,"Garments, climate vulnerable","Development focused, non-aligned","SAARC, Paris Agreement","Adaptation + growth"
33,Malaysia,0.47,"Electronics/palm, multi-ethnic","ASEAN, moderate","ASEAN, RCEP, Paris Agreement","Economic pragmatism"
34,Egypt,0.45,"Suez/military, reforms","Arab leader, balancing","Arab League, Paris Agreement","Stability, reforms"
35,Vietnam,0.45,"Doi Moi manufacturing, hedging","Multilateral hedging","CPTPP, RCEP, Paris Agreement","Sovereignty, integration"
36,Singapore,0.43,"Trade/finance hub","Pragmatic, ASEAN core","Many FTAs, CPTPP, Paris Agreement","Stability, openness"
37,South Africa,0.42,"Resources, BRICS","African/BRICS voice","BRICS, AU, Paris Agreement","Just transition"
38,Denmark,0.42,"Green/welfare, shipping","NATO/EU","EU, NATO, Paris Agreement","Green leadership"
39,Pakistan,0.40,"CPEC, military","China close, Islamic","SCO, OIC, Paris Agreement","Economic stability"
40,Finland,0.38,"Tech, NATO","NATO/EU","EU, NATO, Paris Agreement","Security focus"
41,Colombia,0.37,"Oil/peace","US ally","Pacific Alliance, Paris Agreement","Total peace"
42,Ireland,0.36,"FDI tech/pharma, neutral","EU neutral","EU, Paris Agreement","Neutrality"
43,Chile,0.35,"Copper/trade open","OECD/Pacific","CPTPP, Paris Agreement","Stability"
44,Romania,0.35,"EU/Black Sea","NATO/EU","EU, NATO, Paris Agreement","Security"
45,Peru,0.32,"Mining","Pacific Alliance","Pacific Alliance, Paris Agreement","Growth"
46,Czech Republic,0.32,"Manufacturing","Strong NATO/EU","EU, NATO, Paris Agreement","Ukraine support"
47,Portugal,0.30,"Tourism/renewables","EU/NATO","EU, NATO, Paris Agreement","Cohesion"
48,Hungary,0.28,"EU funds, sovereignty","EU but independent","EU, NATO, Paris Agreement","Sovereignty focus"
49,Greece,0.27,"Tourism/shipping","EU/NATO, Eastern Med","EU, NATO, Paris Agreement","Stability"
50,Nigeria,0.25,"Oil, reforms","African leader, ECOWAS","ECOWAS, Paris Agreement","Development, security"
Rank,Country,GDP_2026_Billion_USD,Key_Policies,International_Stance,Major_Agreements_Signed,Recent_Official_Statements_Notes
52,Greece,308,"Tourism, shipping, EU recovery funds","EU/NATO core, Eastern Mediterranean","EU, NATO, Paris Agreement","EU solidarity, defense spending increase"
53,Iran,300,"Resistance economy, oil, sanctions resilience","Anti-Western, Axis of Resistance, multipolar","BRICS, SCO, Paris Agreement","Oppose sanctions & Israel, nuclear rights"
54,New Zealand,279,"Agriculture, tourism, progressive policies","Indo-Pacific, Five Eyes, climate focus","CPTPP, Five Eyes, Paris Agreement","Nuclear-free, climate leadership"
55,Hungary,271,"EU funds, manufacturing, illiberal democracy","EU member, Russia/China friendly","EU, NATO, Paris Agreement","Sovereignty, migration control"
56,Iraq,265,"Oil reconstruction, security challenges","US/China balancing, regional","OPEC, Paris Agreement","Reconstruction, counter-ISIS"
57,Kazakhstan,240,"Resource exports, multi-vector","Eurasian, Russia/China/West balancing","SCO, EAEU, Paris Agreement","Multi-vector foreign policy"
58,Qatar,235,"LNG exports, diversification","Gulf mediator, pragmatic","GCC, OPEC, Paris Agreement","Mediation role, Vision 2030"
59,Kuwait,220,"Oil, sovereign wealth","Gulf security, conservative","GCC, OPEC, Paris Agreement","Regional stability"
60,Slovakia,205,"Manufacturing (auto), EU","EU/NATO, pro-integration","EU, NATO, Paris Agreement","EU cohesion, Ukraine support"
61,Ethiopia,200,"Agriculture, infrastructure, growth","AU leader, Horn of Africa","AU, BRICS partner, Paris Agreement","Development, regional peace"
62,Chile,195,"Copper mining, trade open","Pacific Alliance, OECD","CPTPP, Paris Agreement","Economic stability, green transition"
63,Romania,190,"EU integration, Black Sea energy","NATO/EU strong","EU, NATO, Paris Agreement","Energy security, Ukraine support"
64,Ukraine,185,"War economy, reconstruction","EU/NATO aspiration, anti-Russia","EU candidate, Paris Agreement","Territorial integrity, EU path"
65,Morocco,180,"Phosphates, tourism, reforms","Moderate Arab, Africa pivot","AU, Arab League, Paris Agreement","Western Sahara, green energy"
66,Ecuador,175,"Oil, agriculture, dollarized","US/Latin ties, resource nationalism","Pacific Alliance observer, Paris Agreement","Sovereignty, economic recovery"
67,Portugal,170,"Tourism, renewables, EU","EU, NATO, Lusophone","EU, NATO, Paris Agreement","EU cohesion, green growth"
68,Oman,165,"Oil diversification, mediation","Neutral Gulf, balancing","GCC, Paris Agreement","Mediation, Vision 2040"
69,Peru,160,"Mining, stability","Pacific Alliance","Pacific Alliance, Paris Agreement","Economic growth, mining sustainability"
70,Angola,155,"Oil, post-conflict reconstruction","AU, China ties","AU, OPEC, Paris Agreement","Diversification, peace"
71,Czech Republic,150,"Manufacturing, EU","NATO/EU, pro-Ukraine","EU, NATO, Paris Agreement","Support Ukraine, innovation"
72,Denmark,148,"Green energy, welfare","NATO, EU opt-outs","EU, NATO, Paris Agreement","Climate leadership"
73,Bulgaria,148,"EU integration, energy","NATO/EU, Black Sea","EU, NATO, Paris Agreement","Energy diversification"
74,Vietnam,145,"Manufacturing (Doi Moi), exports","Hedging US/China, multilateral","CPTPP, RCEP, BRICS partner, Paris Agreement","Sovereignty, economic integration"
75,Finland,145,"Tech, NATO, welfare","NATO, EU","EU, NATO, Paris Agreement","Security, Arctic"
76,Bangladesh,140,"Garments, infrastructure","Non-aligned, climate vulnerable","SAARC, Paris Agreement","Development, climate adaptation"
77,Pakistan,135,"CPEC, military, agriculture","China ally, Islamic world","SCO, OIC, Paris Agreement","Counter-terror, economic stability"
78,Malaysia,130,"Electronics, palm oil","Non-aligned, ASEAN","ASEAN, RCEP, Paris Agreement","Moderate growth, stability"
79,Sri Lanka,125,"Tourism, debt restructuring","Non-aligned, India/China balancing","SAARC, Paris Agreement","Economic recovery"
80,Nigeria,120,"Oil, reforms, population","AU/ ECOWAS leader, Global South","AU, ECOWAS, BRICS partner, Paris Agreement","4D doctrine (Tinubu), regional leadership"
81,Kenya,115,"Services, tech hub, agriculture","East Africa leader","EAC, AU, Paris Agreement","Economic hub, climate"
82,Guatemala,110,"Agriculture, remittances","US ties, Central America","CAFTA, Paris Agreement","Stability, migration"
83,Côte d'Ivoire,105,"Cocoa, growth","ECOWAS, franc zone","ECOWAS, Paris Agreement","Economic powerhouse West Africa"
84,Uzbekistan,100,"Reforms, resources","Multivector, SCO","SCO, Paris Agreement","Reform, connectivity"
85,Tanzania,95,"Mining, agriculture, tourism","EAC, AU","EAC, AU, Paris Agreement","Development, stability"
86,Philippines, (earlier ~520 in Top 50 adjustment; listed for completeness),,,,,
87,Ghana,90,"Oil, cocoa, gold","ECOWAS, democratic","ECOWAS, Paris Agreement","Democracy, growth"
88,Colombia, (earlier),,,,,
89,Myanmar,85,"Resources, political challenges","ASEAN, China ties","ASEAN, Paris Agreement","Internal stability"
90,Azerbaijan,80,"Oil, energy corridor","Caspian, balancing","OPEC+, Paris Agreement","Energy exports"
91,Jordan,78,"Services, tourism, reforms","US ally, mediator","US FTA, Paris Agreement","Regional stability"
92,Serbia,75,"EU candidate, Balkans","EU path, Russia/China ties","EU candidate, Paris Agreement","Sovereignty, EU accession"
93,Belarus,70,"Allied to Russia, state economy","Union State with Russia","CSTO, SCO, Paris Agreement","Integration with Russia"
94,Libya,65,"Oil, instability","AU, balancing","AU, OPEC, Paris Agreement","Reunification"
95,Tunisia,60,"Tourism, reforms","Arab, EU ties","EU association, Paris Agreement","Democracy, economy"
96,Croatia,58,"Tourism, EU","EU, NATO, Adriatic","EU, NATO, Paris Agreement","EU integration"
97,Cuba,55,"State socialist, tourism","Anti-US, Global South","ALBA, Paris Agreement","Sovereignty, oppose embargo"
98,Dominican Republic,55,"Tourism, services","US/CAFTA ties","CAFTA, Paris Agreement","Growth, stability"
99,Sudan,50,"Agriculture, conflict","AU, Arab","AU, Arab League, Paris Agreement","Peace process"
100,Senegal,48,"Mining, agriculture, stability","ECOWAS, franc","ECOWAS, Paris Agreement","Democratic model, growth"